Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",2,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,2025/06/29,2025/06/29,,,read,,,,1,0
6572270,Bloodlands: Europe Between Hitler and Stalin,Timothy Snyder,"Snyder, Timothy",,"=""0465002390""","=""9780465002399""",5,4.39,Basic Books,Hardcover,524,2010,2010,2025/06/23,2025/06/23,,,read,,,,1,0
41436213,Sandworm: A New Era of Cyberwar and the Hunt for the Kremlin's Most Dangerous Hackers,Andy Greenberg,"Greenberg, Andy",,"=""0385544413""","=""9780385544412""",5,4.35,Doubleday,Kindle Edition,368,2019,2019,2025/06/05,2025/06/05,,,read,,,,1,0
34964986,How to Be Yourself: Quiet Your Inner Critic and Rise Above Social Anxiety,Ellen Hendriksen,"Hendriksen, Ellen",,"=""1250161703""","=""9781250161703""",5,4.13,St. Martin's Press,Hardcover,304,2018,2018,2025/05/16,2025/05/16,,,read,,,,1,0
201017011,"Lights Out (Into Darkness, #1)",Navessa Allen,"Allen, Navessa",,"=""""","=""""",0,4.11,,Kindle Edition,338,2024,2024,2025/05/03,2025/05/08,,,read,,,,1,0
214537759,The Tell: A Memoir,Amy   Griffin,"Griffin, Amy",,"=""0593731204""","=""9780593731208""",5,4.01,The Dial Press,Hardcover,288,2025,2025,2025/05/08,2025/05/08,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",0,4.57,Entangled: Red Tower Books,Hardcover,517,2023,2023,2025/04/30,2025/04/30,,,read,,,,1,0
124254703,ADHD for Smart Ass Women: How to Fall in Love with Your Neurodivergent Brain,Tracy Otsuka,"Otsuka, Tracy",Edward M. Hallowell,"=""0063307065""","=""9780063307063""",5,4.08,William Morrow,Kindle Edition,274,2023,2023,2025/04/10,2025/04/10,,,read,,,,1,0
13547504,"Far from the Tree: Parents, Children, and the Search for Identity",Andrew Solomon,"Solomon, Andrew",,"=""""","=""""",5,4.27,Scribner,Hardcover,962,2012,2012,2025/04/04,2025/03/31,,,read,,,,1,0
62365896,How to Read a Book,Monica Wood,"Wood, Monica",,"=""0063243679""","=""9780063243675""",0,4.26,Mariner Books,Hardcover,280,2024,2024,2025/03/25,2025/03/21,,,read,,,,1,0
26827093,Code Warriors: NSA's Code Breakers and the Secret Intelligence War Against the Soviet Union,Stephen Budiansky,"Budiansky, Stephen",,"=""0385352662""","=""9780385352666""",0,3.72,Knopf,Hardcover,416,2016,2016,2025/03/21,2025/03/07,,,read,,,,1,0
39979237,Moneyland: Why Thieves and Crooks Now Rule the World and How To Take It Back,Oliver Bullough,"Bullough, Oliver",,"=""1782833331""","=""""",5,4.19,Profile Books,Kindle Edition,305,2018,2018,2025/03/06,2025/02/28,,,read,"Found this book in a list of recommendations from Ezra Klein guests. They shared it as one of the best books of the year and I agree. This is a detailed tracing of how offshore money is stored around the world and which countries are aiding this. From selling passports, hiding ownership of shell companies, buying real estate, frivolous libel lawsuits to silence journalists, and more, this book reads like a suspense novel. Loved it! Reno Nevada, Ukraine, Trump, Kushners, and Putin make their appearances. ",,,1,0
21480734,Dataclysm: Who We Are (When We Think No One's Looking),Christian Rudder,"Rudder, Christian",,"=""0385347375""","=""9780385347372""",0,3.73,Crown,Hardcover,304,2014,2014,2025/02/28,2025/02/28,,,read,,,,1,0
45894094,Franchise: The Golden Arches in Black America,Marcia Chatelain,"Chatelain, Marcia",,"=""1631493949""","=""9781631493942""",0,3.82,Liveright,Hardcover,336,2020,2020,2025/02/15,2025/02/15,,,read,,,,1,0
34272565,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"Tegmark, Max",Rob Shapiro,"=""0451485076""","=""9780451485076""",0,4.00,Random House Audio,Audio CD,384,2035,2017,2025/02/08,2025/02/08,,,read,,,,1,0
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"Maguire, Gregory",Douglas Smith,"=""""","=""""",3,3.51,ReganBooks,Paperback,406,2000,1995,2025/01/30,2025/01/30,,,read,,,,1,0
40595446,A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell,"Purnell, Sonia",,"=""073522529X""","=""9780735225299""",5,4.15,Viking,Hardcover,352,2019,2019,2025/01/21,2025/01/21,,,read,,,,1,0
